Name: Scott Davidson
Date: 2-20-16
Time: 10:15
1072 344 40
880 280 -96
792 288 -136
912 304 -112
1152 328 16
1176 320 64
1208 280 200
1064 272 80
904 216 64
952 208 96
1144 264 80
1160 224 -16
1104 216 16
968 264 -24
864 280 -136
984 312 -112
1112 352 -32
1200 344 48
1176 288 120
1040 264 160
920 224 80
944 240 136
952 304 -40
1064 248 24
1096 240 -40
992 288 0
904 296 -88
976 320 -112
1048 288 -48
1352 208 136
1288 240 -8
1088 208 -48
984 176 56
968 248 128
1048 312 176
1040 392 96
1104 384 224
1008 456 112
1000 440 88
992 416 -136
1032 304 -392
1040 352 -104
1024 280 32
1032 312 88
1040 352 104
1040 320 64
1008 304 48
952 272 32
872 304 0
1032 304 40
992 296 -24
936 328 -32
920 344 -168
1048 336 -24
1000 344 -32
1168 328 168
1128 280 0
1032 312 152
984 256 96
976 248 64
960 256 -48
1088 272 0
1016 280 -88
944 328 -160
976 344 -184
1088 336 -32
1032 336 -32
1120 280 216
1040 288 56
960 256 72
928 240 56
984 240 56
944 296 -72
1096 296 64
1032 296 -64
928 328 -72
944 360 -144
1192 376 -88
1144 328 -16
1176 312 160
1080 272 120
968 240 152
960 200 128
1000 240 48
1064 256 -72
1080 264 -8
1000 256 -128
912 280 -152
984 312 -152
1136 360 -32
1112 368 128
1128 352 104
1008 344 168
920 352 168
960 360 184
960 336 72
1080 304 -104
1016 296 -144
888 400 -16
960 360 104
1088 328 304
1000 304 400
984 344 408
968 368 368
976 416 320
984 408 336
1008 416 320
1064 440 200
1000 368 128
944 280 64
952 256 32
952 240 16
944 248 -24
976 272 -40
1104 328 -8
992 328 -8
1120 344 64
1064 328 40
1016 312 128
968 256 112
1000 224 176
984 256 40

1280 280 104
1096 288 64
912 232 48
928 208 112
1032 240 32
1040 264 -64
1120 304 -16
1040 304 -120
904 304 -176
984 312 -184
1208 336 -64
1144 304 24
1160 296 120
1032 264 112
928 240 136
944 184 96
944 280 40
832 320 -104
1040 368 -152
1008 344 -264
968 352 32
944 344 112
992 312 272
